coin,tf,config,L,slMult,RR,bias,IS_from,IS_to,OOS_from,OOS_to,IS_n,IS_WR,IS_avgR,IS_sumR,IS_PF,IS_maxDD,IS_net06,IS_net04,IS_sumR_TPfirst,OOS_n,OOS_WR,OOS_avgR,OOS_sumR,OOS_PF,OOS_maxDD,OOS_net06,OOS_net04,OOS_sumR_TPfirst,OOS_insufficient,survives_OOS,relaxed_IS
ETHUSDT,3m,WF-winner,10,1.0,4.5,0,2022-07-01,2025-04-18,2025-04-18,2026-06-30,15080,0.3194297082228117,0.04471568302387268,674.3125,1.0746617764091209,-150.4375,-14538.643545644798,-9467.658197096534,765.65625,6443,0.30684463759118424,0.009159383903751237,59.013910491869225,1.0149940858442492,-103.59375,-5414.207478611469,-3589.8003489103567,96.88891049186923,False,True,False
ETHUSDT,3m,Fixed-default,30,2.1,3.5,5,2022-07-01,2025-04-18,2025-04-18,2026-06-30,4918,0.37291581943879626,0.023328138574200682,114.72778550791895,1.0423139948624807,-120.3125,-2271.4422205719147,-1476.0522185453035,126.88403550791895,2071,0.38000965717044904,0.038629473996465005,80.00164064667902,1.071404136353826,-74.78125,-719.5465519406753,-453.0304877448905,85.53289064667902,False,True,
ETHUSDT,15m,WF-winner,15,1.0,4.5,4,2022-07-02,2025-04-18,2025-04-18,2026-06-30,2064,0.34593023255813954,0.14232073643410853,293.75,1.2487167275228872,-34.1875,-505.22140528429793,-238.89760352286544,316.0,890,0.298876404494382,0.0017486743521724778,1.5563201734335053,1.002915447196301,-92.78125,-287.5393421188184,-191.17412135473447,14.431320173433505,False,True,False
ETHUSDT,15m,Fixed-default,30,2.1,3.5,5,2022-07-02,2025-04-18,2025-04-18,2026-06-30,878,0.4020501138952164,0.08726823684994521,76.6215119542519,1.170624171043758,-21.75,-78.82032491432297,-27.00637929146469,81.6215119542519,373,0.38873994638069703,0.09819034852546916,36.625,1.1841030474395224,-15.1875,-14.088640385120346,2.8159064099197577,37.09375,False,True,
ETHUSDT,1h,WF-winner,25,1.0,4.5,10,2022-07-06,2025-04-18,2025-04-18,2026-06-30,221,0.3755656108597285,0.20571147415897303,45.46223578913304,1.3692364328051414,-10.0,12.63718011338972,23.578865338637485,47.58723578913304,119,0.2857142857142857,-0.07720588235294118,-9.1875,0.8773466833541927,-17.21875,-25.528418970963543,-20.08144598064236,-8.65625,False,False,False
ETHUSDT,1h,Fixed-default,30,2.1,3.5,5,2022-07-06,2025-04-18,2025-04-18,2026-06-30,238,0.36554621848739494,0.055934873949579834,13.3125,1.1032226799127696,-12.96875,-3.6756981852305284,1.9870345431796483,14.46875,105,0.29523809523809524,-0.0858709145930273,-9.016446032267867,0.8554858621548104,-16.90625,-15.425003804347513,-13.288817880320964,-9.016446032267867,False,False,
ETHUSDT,4h,WF-winner,30,1.0,4.5,4,2022-07-21,2025-04-18,2025-04-18,2026-06-30,62,0.5,0.5231854838709677,32.4375,2.2126168224299065,-2.65625,28.032424360752625,29.500782907168414,32.4375,36,0.3611111111111111,0.2465277777777778,8.875,1.3949930458970792,-8.84375,6.431535084739368,7.246023389826244,8.875,False,True,False
ETHUSDT,4h,Fixed-default,30,2.1,3.5,5,2022-07-21,2025-04-18,2025-04-18,2026-06-30,47,0.40425531914893614,0.008643617021276596,0.40625,1.0167525773195876,-5.21875,-1.162488635958606,-0.639575757305735,0.40625,23,0.391304347826087,0.035618145749083896,0.8192173522289297,1.062715203998387,-6.84375,0.13644918754355362,0.36403857577201193,0.8192173522289297,True,False,
ETHUSDT,1d,WF-winner,10,1.0,2.5,0,2022-10-29,2025-04-17,2025-04-18,2026-06-30,30,0.3333333333333333,0.05625,1.6875,1.1210762331838564,-6.15625,0.8579796347522033,1.134486423168135,1.6875,11,0.5454545454545454,0.4090909090909091,4.5,3.0,-2.25,4.244872881106387,4.329915254070924,4.5,True,False,False
ETHUSDT,1d,Fixed-default,30,2.1,3.5,5,2022-10-29,2025-04-17,2025-04-18,2026-06-30,9,0.3333333333333333,0.11458333333333333,1.03125,1.1864406779661016,-2.53125,0.9177646536030384,0.9555931024020263,1.03125,4,0.5,0.59375,2.375,2.1875,-1.0,2.3309235139974094,2.345615675998273,2.375,True,False,
