coin,side,entry_ts,exit_ts,R,day
ETHUSDT,short,1697025780000,1697046480000,3.0,1696982400000
ETHUSDT,short,1697080500000,1697104620000,3.0,1697068800000
ETHUSDT,long,1697851080000,1697852340000,-1.0,1697846400000
ETHUSDT,long,1698688980000,1698888420000,3.0,1698624000000
ETHUSDT,short,1700067780000,1700071740000,-1.0,1700006400000
ETHUSDT,long,1700492580000,1700578980000,-1.0,1700438400000
ETHUSDT,short,1701306180000,1701312120000,-1.0,1701302400000
ETHUSDT,long,1702134180000,1702164780000,-1.0,1702080000000
ETHUSDT,short,1703138580000,1703141460000,-1.0,1703116800000
ETHUSDT,long,1703286720000,1703296440000,-1.0,1703203200000
ETHUSDT,long,1703415780000,1703450520000,-1.0,1703376000000
ETHUSDT,long,1704232980000,1704281040000,-1.0,1704153600000
ETHUSDT,short,1704494340000,1704495960000,-1.0,1704412800000
ETHUSDT,long,1704794760000,1704804840000,-1.0,1704758400000
ETHUSDT,long,1704891960000,1704920760000,3.0,1704844800000
ETHUSDT,long,1705195980000,1705198680000,-1.0,1705190400000
ETHUSDT,short,1705690980000,1705886280000,3.0,1705622400000
ETHUSDT,long,1706347080000,1706417100000,3.0,1706313600000
ETHUSDT,long,1706465160000,1706466060000,-1.0,1706400000000
ETHUSDT,long,1707413580000,1707479640000,3.0,1707350400000
ETHUSDT,long,1707937380000,1707957180000,3.0,1707868800000
ETHUSDT,long,1709564580000,1709640360000,3.0,1709510400000
ETHUSDT,short,1713086100000,1713132180000,-1.0,1713052800000
ETHUSDT,short,1714410180000,1714421520000,-1.0,1714348800000
ETHUSDT,short,1715700780000,1715766300000,-1.0,1715644800000
ETHUSDT,long,1717430400000,1717460280000,-1.0,1717372800000
ETHUSDT,short,1718024580000,1718032140000,-1.0,1717977600000
ETHUSDT,long,1719541080000,1719560700000,-1.0,1719532800000
ETHUSDT,short,1719928980000,1719976320000,3.0,1719878400000
ETHUSDT,long,1720451340000,1721010780000,3.0,1720396800000
ETHUSDT,long,1721046420000,1721071260000,3.0,1721001600000
ETHUSDT,long,1721224980000,1721231460000,-1.0,1721174400000
ETHUSDT,long,1721467980000,1721496600000,3.0,1721433600000
ETHUSDT,short,1721656980000,1721723400000,-1.0,1721606400000
ETHUSDT,short,1721776860000,1721855520000,3.0,1721692800000
ETHUSDT,short,1722956580000,1723040100000,3.0,1722902400000
